FeatureName,ScenarioName,FileName,IsExpected
Quick Formula - Measures,QM_08_PercContrParent_Bar_ValRed,QM_08_PercContrParent_Bar_ValRed_1,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_1_NewSim1_50_America,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_2_NewSim1_46_Europe,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_3_NewSim1_30_America,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_4_NewSim1_20_USA,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_5_NewSim1_99_USA,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_6_NewSim2_30_USA,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_7_NewSim2_11_USA,false
Blend,Blend_01_SideBarProps,Blend01_BlendCreation_Horiz,false
Blend,Blend_01_SideBarProps,Blend02_BlendCreation_Vert,false
Blend,Blend_01_SideBarProps,Blend03_BlendCreation_Var,false
Blend,Blend_01_SideBarProps,Blend04_BlendCreation_VarPerc,false
Blend,Blend_01_SideBarProps,Blend05_BlendCreationNewTitle,false
Pin Row And Column,PRC_29_Aggregation_Sum,Sum,false
Pin Row And Column,PRC_55_SmartAnalysis_UnpinAll,PRC_55_SmartAnalysis_UnpinAll_SmartAnalysisValidation12,false
Quick Formula - Measures,QM_24_OverallRank_TopN,QM_24_OverallRank_TopN_0,false
Quick Formula - Measures,QM_24_OverallRank_TopN,QM_24_OverallRank_TopN_1,false
Quick Formula - Measures,QM_24_OverallRank_TopN,QM_24_OverallRank_TopN_2,false
Quick Formula - Measures,QM_24_OverallRank_TopN,QM_24_OverallRank_TopN_3,false
Quick Formula - Measures,QM_05_PercContrParent_SB2_NoBar,QM_05_PercContrParent_SB2_NoBar_0,false
Quick Formula - Measures,QM_09_PercContrParent_TopN,QM_09_PercContrParent_TopN_0,false
Quick Formula - Measures,QM_09_PercContrParent_TopN,QM_09_PercContrParent_TopN_1,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_0,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_1,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_2,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_3,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_4,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_5,false
Pin Row And Column,PRC_32_Aggregation_AvgChildren,Average Children,false
Quick Formula - Measures,QM_14_PercContrGT_Bar_ValRed,QM_14_PercContrGT_Bar_ValRed_0,false
Quick Formula - Measures,QM_14_PercContrGT_Bar_ValRed,QM_14_PercContrGT_Bar_ValRed_1,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_None,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_Auto,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_Thousands,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_Millions,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_Billions,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_Trillions,false
Quick Formula - Measures,QM_21_LeadLag_TopN,QM_21_LeadLag_TopN_0,false
Quick Formula - Measures,QM_21_LeadLag_TopN,QM_21_LeadLag_TopN_1,false
Advanced_Simulate,Sim_06_SimulateParentAffectsChild,Sim_06_SimulateParentAffectsChild_1_NewSim1_20_Americas,false
Advanced_Simulate,Sim_06_SimulateParentAffectsChild,Sim_06_SimulateParentAffectsChild_2_NewSim1_30_Europe,false
Quick Formula - Measures,QM_07_PercContrParent_Bar_PerRed,QM_07_PercContrParent_Bar_PerRed_0,false
Quick Formula - Measures,QM_07_PercContrParent_Bar_PerRed,QM_07_PercContrParent_Bar_PerRed_1,false
Smart_Analysis,06_smartAnalysis_with_Filter,SmartAnalysis_Filter,false
Smart_Analysis,15_smartAnalysis_Displayed_for_ColumnSubTotals_GrandTotals_WhenDimensionInColumn,GrandTotalColumnShownAsperSelectedOption,false
Pin Row And Column,PRC_16_PR_PC_EditCell,EditCellValidation,false
Blend,Blend_08_AutofitSummary,BeforeFit,false
Blend,Blend_08_AutofitSummary,AfterFitToHeader,false
Blend,Blend_08_AutofitSummary,AfterFitToContent,false
Blend,Blend_08_AutofitSummary,AfterBestFit,false
Smart_Analysis,04_SmartAnalysis_With_ConditionalFormatting_2,SmartAnalysis_CF_createRule,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn2,Sim_07_SimulateAndManageColumn2_1_NewSim1_50_USA,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn2,Sim_07_SimulateAndManageColumn2_3_NewSim1_30_America,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn2,Sim_07_SimulateAndManageColumn2_ShowingBoth1And2,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn2,Sim_07_SimulateAndManageColumn2_HidingBoth1And2,false
Pin Row And Column,PRC_26_SmartAnalysis_Contribution,SmartAnalysisValidation,false
Pin Row And Column,PRC_11_PinColumn_Alignment,Alignment_left,false
Pin Row And Column,PRC_11_PinColumn_Alignment,Alignment_center,false
Pin Row And Column,PRC_11_PinColumn_Alignment,Alignment_right,false
Quick Formula - Measures,QM_30_Comb_EditCell,QM_30_Comb_EditCell_0,false
Smart_Analysis,11_smartAnalysis_with_TopN,SmartAnalysis_TopN,false
Number_Formatting,NF_AutoCell,NF_AutoCell_1,false
Number_Formatting,NF_AutoCell,NF_AutoCell_2,false
Pin Row And Column,PRC_12_PR_CalculatedRowPin,ICR_BeforePin,false
Pin Row And Column,PRC_12_PR_CalculatedRowPin,ICR_AfterPin,false
Quick Formula - Measures,QM_06_PercContrParent_Bar_BothDefault,QM_06_PercContrParent_Bar_BothDefault_0,false
Number_Formatting,NF_UniformRow,NF_UniformRow_1,false
Number_Formatting,NF_UniformRow,NF_UniformRow_2,false
Advanced_Simulate,Sim_09_SimulateCalculatedRow,Sim_09_SimulateCalculatedRow_1_NewSim1_50_USA,false
Advanced_Simulate,Sim_09_SimulateCalculatedRow,Sim_09_SimulateCalculatedRow_1_NewSim1_50_Americas,false
Smart_Analysis,14_smartAnalysis_EditNotApplicable,SmartAnalysis_EditNotApplicable,false
Pin Row And Column,PRC_07_PinRow_StyleTest_1,PRC_07_PinRow_StyleTest_1,false
Quick Formula - Measures,QM_17_LeadLag_OffNegExtreme,QM_17_LeadLag_OffNegExtreme_0,false
Quick Formula - Measures,QM_17_LeadLag_OffNegExtreme,QM_17_LeadLag_OffNegExtreme_1,false
Pin Row And Column,PRC_44_Layout_3,Stepped,false
